Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6615680713b30876c19c3776,6079fce53f74f77426b40b44,RETURNED,Not Applicable,2024-04-09T16:08:45.643000Z,,,2024-04-10T12:33:40.329254Z,,,804,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6615681d6e5056ffa4daf181,5f54efb57ef2f08614f253e5,AWAITING REVIEW,Not Applicable,2024-04-09T16:09:01.614000Z,2024-04-09T16:27:12.479000Z,,2024-04-09T16:27:13.051354Z,1091.0,C1AUX6QQ,1389,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
661568a7a77972ed7cdaf1f2,63ea445c759d5bf0e3f63739,RETURNED,Not Applicable,2024-04-09T16:11:19.834000Z,,,2024-04-10T12:33:40.326438Z,,,188,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661568af9105aa89d48f5b18,65a7dd91fbfe899897cfd24c,RETURNED,Not Applicable,2024-04-09T16:11:32.353000Z,,,2024-04-10T12:33:40.350773Z,,,45,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661568bc707f2c7dd6c44e13,5a75e9c119042000015569af,AWAITING REVIEW,Not Applicable,2024-04-09T16:11:52.257000Z,2024-04-09T16:21:46.952000Z,,2024-04-09T16:21:47.564173Z,595.0,C1AUX6QQ,1400,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
661568ff21457ee1af55fdb7,5fa729e20000d9473b102f16,RETURNED,Not Applicable,2024-04-09T16:23:00.060000Z,,,2024-04-10T12:33:40.321036Z,,,121,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6615690f71321e5f4d62535c,63c3d40087c635e7f521b300,AWAITING REVIEW,Not Applicable,2024-04-09T16:13:11.900000Z,2024-04-09T16:32:26.981000Z,,2024-04-09T16:32:30.112332Z,1156.0,C1AUX6QQ,707,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66156933abe1ffe2e88502e6,5ca35f23219293001653e971,AWAITING REVIEW,Not Applicable,2024-04-09T16:13:44.807000Z,2024-04-09T16:23:42.930000Z,,2024-04-09T16:23:43.717955Z,599.0,C1AUX6QQ,1409,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6615698f4f41e2e17c348e28,5eaaa1f09980ee025a0e1f12,RETURNED,Not Applicable,2024-04-09T16:15:20.611000Z,,,2024-04-10T12:33:40.336583Z,,,1972,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661569ad55ae8d038027ed00,5778eeb20e49300001ba9ec0,RETURNED,Not Applicable,2024-04-09T16:15:48.256000Z,2024-04-09T16:44:09.039000Z,,2024-04-10T12:33:40.347083Z,,CU6ZZBVF,1946,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
